Tiempo_Seg,Mejor_Costo,Nodos_Explorados,Podas
2.16229,89.08,101,0
3.7624,88.72,212,0
266.56,88.65,17860,0
754.865,88.22,51433,0
1204.58,87.79,82756,0
1623.25,87.36,111889,0
2012.48,86.93,138964,0
2373.93,86.5,163999,0
2705.7,86.07,187066,0
3010.79,85.64,208279,0
3289.83,85.21,227710,0
3543.48,84.78,245455,0
3665.72,84.35,253813,0
3884.16,83.92,268966,0
4080.37,83.49,282601,0
4255.7,83.06,294820,0
4412.59,82.63,305707,0
4551.81,82.2,315340,0
4673.66,81.77,323785,0
4778.64,81.34,331114,0
4869.85,80.91,337423,0
4947.52,80.48,342772,0
5012.39,80.05,347251,0
5041.15,79.62,349255,0
5086.81,79.19,352486,0
5124.29,78.76,355051,0
5152.46,78.33,357022,0
5173.18,77.9,358489,0
5188.85,77.47,359518,0
5199.11,77.04,360193,0
5203.65,76.61,360604,0
5206.78,76.18,360805,0
5208.18,75.75,360904,0
