Tiempo_Seg,Mejor_Costo,Nodos_Explorados,Podas
0.63209,13585.8,101,0
74.723,13585.6,33718,0
207.539,13585.4,94110,0
280.653,13585.2,127727,0
399.687,13585,182148,0
509.123,13584.9,231673,0
581.411,13584.7,265286,0
680.3,13584.5,310620,0
771.859,13584.3,352676,0
846.371,13584.1,386251,0
932.302,13584,425582,0
1006.16,13583.8,459100,0
1087.38,13583.6,496301,0
1166.6,13583.4,532022,0
1239.31,13583.2,565384,0
1316.17,13583.1,599921,0
1390.22,13582.9,633716,0
1465.38,13582.7,666807,0
1540.15,13582.5,699998,0
1614.62,13582.3,732885,0
1688.7,13582.2,765566,0
1760.63,13582,798077,0
1833.32,13581.8,830390,0
1906.32,13581.6,862486,0
1976.73,13581.4,894343,0
2048.51,13581.3,925935,0
2119.59,13581.1,957241,0
2190.37,13580.9,988235,0
2258.81,13580.7,1018888,0
2327.99,13580.5,1049173,0
2395.48,13580.4,1079058,0
2461.86,13580.2,1108515,0
2527.91,13580,1137510,0
2591.98,13579.8,1166012,0
2654.87,13579.6,1193988,0
2716.52,13579.5,1221403,0
2777.11,13579.3,1248219,0
2836.19,13579.1,1274400,0
2893.74,13578.9,1299906,0
2948.07,13578.7,1324697,0
3000.55,13578.6,1348735,0
3052.56,13578.4,1371976,0
3101.06,13578.2,1394380,0
3149.14,13578,1415902,0
3194.25,13577.8,1436495,0
3238.15,13577.7,1456114,0
3278.15,13577.5,1474711,0
3317.23,13577.3,1492237,0
