Tiempo_Seg,Mejor_Costo,Nodos_Explorados,Podas
0.00837249,2870,21,0
0.0713189,2290,240,0
0.0886027,1610,303,0
7.05617,1580,20210,0
7.07496,1120,20277,0
7.079,1070,20294,0
7.08236,1020,20309,0
7.08542,1000,20323,0
7.29168,960,20972,0
7.29485,940,20986,0
16.6058,930,54322,0
16.6096,910,54336,0
18.865,900,60640,0
18.8687,880,60654,0
19.071,840,61303,0
19.0747,820,61317,0
