Tiempo,Costo
0,2030
0.002,2010
0.002,1960
0.003,1910
0.003,1860
0.003,1810
0.003,1760
0.004,1740
0.004,1720
0.152,1670
0.152,1650
0.153,1630
0.609,1620
0.61,1600
1.247,1590
1.248,1570
6.28,1560
6.281,1540
13.872,1530
13.872,1510
21.394,1500
21.395,1480
